Show Code,Date,People,Media Type,URL,Title,Desc
169,5/18/1999,Robert Schimmel,4,http://www.cc.com/episodes/p8yzfz/the-daily-show-with-jon-stewart-may-18--1999---robert-schimmel-season-3-ep-03135,,
169,5/19/1999,Camryn Manheim,4,http://www.cc.com/episodes/u4m9el/the-daily-show-with-jon-stewart-may-19--1999---camryn-manheim-season-3-ep-03136,,
169,5/20/1999,Ray Romano,4,http://www.cc.com/episodes/y02ye3/the-daily-show-with-jon-stewart-may-20--1999---ray-romano-season-3-ep-03137,,
169,5/24/1999,Patricia Richardson,4,http://www.cc.com/episodes/qh0k30/the-daily-show-with-jon-stewart-may-24--1999---patricia-richardson-season-3-ep-03138,,
169,5/25/1999,Suzanne Somers,4,http://www.cc.com/episodes/yj1ye5/the-daily-show-with-jon-stewart-may-25--1999---suzanne-somers-season-3-ep-03139,,
169,5/26/1999,Natalie Portman,4,http://www.cc.com/episodes/cyfizd/the-daily-show-with-jon-stewart-may-26--1999---natalie-portman-season-3-ep-03140,,
169,5/27/1999,Jamie Foxx,4,http://www.cc.com/episodes/tr15co/the-daily-show-with-jon-stewart-may-27--1999---jamie-foxx-season-3-ep-03141,,
169,6/7/1999,Harry Connick Jr.,4,http://www.cc.com/episodes/lyia11/the-daily-show-with-jon-stewart-june-7--1999---harry-connick--jr--season-3-ep-03142,,
169,6/8/1999,Caroline Rhea,4,http://www.cc.com/episodes/2a8id7/the-daily-show-with-jon-stewart-june-8--1999---caroline-rhea-season-3-ep-03143,,
169,6/10/1999,Timothy Hutton,4,http://www.cc.com/episodes/9srsy8/the-daily-show-with-jon-stewart-june-10--1999---timothy-hutton-season-3-ep-03145,,
169,6/10/1999,Damon Wayans,4,http://www.cc.com/episodes/r51c8d/the-daily-show-with-jon-stewart-june-9--1999---damon-wayans-season-3-ep-03144,,
169,6/14/1999,Mike Myers,4,http://www.cc.com/episodes/3joacd/the-daily-show-with-jon-stewart-june-14--1999---mike-myers-season-3-ep-03146,,
169,6/15/1999,Rob Lowe,4,http://www.cc.com/episodes/qd48xd/the-daily-show-with-jon-stewart-june-15--1999---rob-lowe-season-3-ep-03147,,
169,6/16/1999,Mike Myers,4,http://www.cc.com/episodes/6q0o4u/the-daily-show-with-jon-stewart-june-16--1999---mike-myers-season-3-ep-03148,,
169,6/17/1999,Heather Graham,4,http://www.cc.com/episodes/8pab90/the-daily-show-with-jon-stewart-june-17--1999---heather-graham-season-3-ep-03149,,
169,6/21/1999,Felicity Huffman,4,http://www.cc.com/episodes/bxsxcw/the-daily-show-with-jon-stewart-june-21--1999---felicity-huffman-season-3-ep-03150,,
169,6/22/1999,Jimmy Kimmel,4,http://www.cc.com/episodes/id34ot/the-daily-show-with-jon-stewart-june-22--1999---jimmy-kimmel-season-3-ep-03151,,
169,6/23/1999,Adam Sandler,4,http://www.cc.com/episodes/r8rego/the-daily-show-with-jon-stewart-june-23--1999---adam-sandler-season-3-ep-03152,,
169,6/24/1999,Richard Belzer,4,http://www.cc.com/episodes/gjgu60/the-daily-show-with-jon-stewart-june-24--1999---richard-belzer-season-3-ep-03153,,
169,6/28/1999,Margaret Cho,4,http://www.cc.com/episodes/woxd0m/the-daily-show-with-jon-stewart-june-28--1999---margaret-cho-season-3-ep-03154,,
