Show,Date,Person,Media Type,Media Value,,Title,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Dr. Parag Khanna,1,mHJx6xH9aaU,,Scalable Urban Planning,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Jeff Koons,1,wZWwqlcA50w,,Conversing through Art,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Alessio Romenzi,1,dRF5o5rXP8Y,,Bringing Stories into the Spotlight,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Andrew Ross Sorkin,1,mQkRg6YwrTc,,Short-term Thinking Leads to Future Shortcomings,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Andrew Ross Sorkin,1,oWVexi_cS7U,,Redesigning Retail,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Brittany Wenger,1,sgEVe8oyogA,,Conversations with Google Science Fair '12 Winners,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Adam Sadowsky,1,YV6a1SDHWIc,,Creativity Powered by Science,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Morgan Spurlock,1,AlIQZ3kXpHI,,Moviemaking for All,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Kate Stohr,1,xyS2aFsZhGY,,Positive Perspectives Can Transform Spaces,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Jeffrey Katzenberg,1,kqlbz455_vk,,On Film and Politics,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Campbell Brown,1,rwlunVnalDs,,International Economic Outlook,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Hugh Herr,1,it1A4qT1cHs,,Bionics: Fusing Biology with Technology,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Maria Zuber,1,q52AWjZn1Ko,,Education Powered by Ownership,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Dan Gilbert,1,REm143Pu11M,,Detroit 2.0,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Ben Rattray,1,dIyxMRtkbJ8,,Making a Difference via Social Networks,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Trey Ratcliff,1,DBFY1wCT0K4,,Artistry through Perspective,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Dan Buettner,1,m8Oq0nVQI1s,,How Cultural Habits Foster Longevity,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Peter Diamandis,1,41ZHmPle7Ek,,Competition Spurs Exponential Innovation,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Bruno Maisonnier,1,XTgsRn0_ng4,,Robots for Better Living,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Andrew Ross Sorkin,1,eqfVc6pmDFs,,Uplifting the World with Technology,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Jill Tarter,1,4EABW8WVTV0,,The Search for Life Beyond Earth,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Campbell Brown,1,4Mzlp6mIaC4,,The Widespread Impact of Google,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,J.J. Abrams,1,FnTB00lIGR8,,Expanding Visuals with Technology,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Eric Schmidt,1,ygLR9bjnyjU,,Zeitgeist 2012 Americas Highlights,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Kirsty Wark,1,Tu-RMHJnX-s,,The Freedom of Speech,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,George Papandreou,1,SW99H1uYP88,,Beyond the Euro Crisis,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Marc Raibert,1,aYRHNe2yGBw,,Exploring with Robots,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Paul Mason,1,xrlUzmyrnCE,,Beyond the Revolution,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Sir Martin Sorrell,1,4lwt5t8Ie3w,,Beyond the Euro Crisis,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Ahmed Shihab-Eldin,1,-3psl_Obz-E,,On Social Journalism,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Srdja Popovic,1,trwVocr-16w,,Clip - Beyond the Revolution,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Dean Karnarzes,1,9Cxz-aXdYb4,,Running Toward Your Potential,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Joris Luyendijk,1,NbC4mNa0oTA,,News for You,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Eric Schmidt,1,VeEnG-S3yjc,,European Zeitgeist 2012 Highlights,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Evgeny Lebedev,1,YdAw7tL-E_Q,,The Freedom of Speech,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Dame Vivienne Westwood,1,kwVk8CHH2Ck,,Beyond Ourselves,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Dan Ariely,1,rFh2peC4ZhM,,Beyond the Rational,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Larry Page,1,Y0WH-CoFwn4,,Simplifying Life Using Technology,,,,,,,,,,,,,,,,,,,,,
