Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,
199,4/7/09,Neil deGrasse Tyson,1,https://www.youtube.com/watch?v=ztLZcvtVIo4&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=178,,"Neil deGrasse Tyson: ""The Pluto Files"" | Talks at Google",
199,6/23/09,Bob Barker,1,https://www.youtube.com/watch?v=H7MR1vqsDEg&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=127,,Authors@Google: Bob Barker,
199,8/4/09,Jean Hanff Korelitz,1,https://www.youtube.com/watch?v=TsbUjb7t-DM&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=126,,Authors@Google: Jean Hanff Korelitz,
199,9/25/09,Alice Waters,1,https://www.youtube.com/watch?v=ue2U90VJJ3I&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=125,,Alice Waters | Chefs at Google,
199,10/12/09,Tina Seelig,1,https://www.youtube.com/watch?v=Ux353AFnhVs&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=124,,Authors@Google: Tina Seelig,
199,11/24/09,Christopher McDougall,1,https://www.youtube.com/watch?v=hXRe0N1hejE&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=123,,Authors@ Google: Christopher McDougall,
199,1/26/10,Ramit Sethi,1,https://www.youtube.com/watch?v=D8v7SbNkHA0&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=122,,Authors@Google: Ramit Sethi,
199,1/29/10,Gretchen Rubin,1,https://www.youtube.com/watch?v=MBTlb8Jfjsc&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=121,,Authors@Google: Gretchen Rubin,
199,2/1/10,Margery Krevsky,1,https://www.youtube.com/watch?v=1fgJtlVfp_E&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=120,,Authors@Google: Margery Krevsky,
199,3/5/10,Cory Doctorow,1,https://www.youtube.com/watch?v=77qJ-ervy_A&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=119,,Authors@Google: Cory Doctorow,
199,4/15/10,Ayelet Waldman,1,https://www.youtube.com/watch?v=v8e0W0ZFnCw&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=118,,Authors@Google: Ayelet Waldman,
199,10/21/10,Condoleezza Rice,1,https://www.youtube.com/watch?v=_zNmx7h0sJ8&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=117,,Authors@Google: Dr. Condoleezza Rice,
199,11/4/10,John Medina,1,https://www.youtube.com/watch?v=3jd-rAm5Xvc&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=116,,Authors@Google: John Medina,
199,11/5/10,Alice Walker,1,https://www.youtube.com/watch?v=MGYCTUTXdKE&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=115,,Authors@Google: Alice Walker,
199,11/11/10,Jonathan Safran Foer,1,https://www.youtube.com/watch?v=I2OGh9QwnP8&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=114,,Authors@Google: Jonathan Safran Foer,
199,11/12/10,Mark Hyman,1,https://www.youtube.com/watch?v=zAZVpsd2Nao&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=113,,Authors@Google: Dr. Mark Hyman,
199,1/11/11,Tim Ferriss,1,https://www.youtube.com/watch?v=hpv4h_B2n6k&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=112,,Authors@Google: Tim Ferriss,
199,1/26/11,Ina Garten,1,https://www.youtube.com/watch?v=qHnG7W5V-FI&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=111,,"Ina Garten: ""Barefoot Contessa: How Easy Is That?"" | Authors at Google",
199,4/7/11,Eric Ries,1,https://www.youtube.com/watch?v=fEvKo90qBns&index=348&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Eric Ries ""The Lean Startup"" | Talks at Google",
199,4/21/11,Tina Fey,1,https://www.youtube.com/watch?v=M8Mkufm3ncc&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=110,,"Tina Fey, ""Bossypants"" | Talks at Google",
199,5/6/11,Jesse Ventura,1,https://www.youtube.com/watch?v=8pS1edpeGqI&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=109,,Authors@Google: Jesse Ventura,
199,5/24/11,Dan Savage|Terry Miller,1,https://www.youtube.com/watch?v=FP8TmGJWHM8&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=108,,Authors@Google: Dan Savage and Terry Miller,
199,8/6/11,George R.R. Martin,1,https://www.youtube.com/watch?v=QTTW8M_etko&index=12&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,George R.R. Martin | Talks at Google,
